"Material","Orientation","K","n","Mean_E_GPa","SD_E_GPa"
"CF-PETG","Flat",80,5,4.66205269389513,0.420781296930849
"CF-PETG","Flat",90,5,4.81689732525053,0.411336918326195
"CF-PETG","Flat",100,5,4.61706790759481,0.104877400185632
"CF-PETG","Flat",110,5,4.40283514973315,0.254930912526308
"PETG","Flat",80,5,2.07782000032205,0.209154898294808
"PETG","Flat",90,5,2.04809787775598,0.163168821723864
"PETG","Flat",100,5,2.13469811611552,0.0741132525126786
"PETG","Flat",110,5,2.15631212810868,0.203700537214687
