"File","Material","Orientation","K","Sample","Youngs_Modulus_GPa","R2","Number_of_Points","Valid","Reason"
"PETG 100%_4.txt","PETG","Flat",100,4,2.13178204097236,0.999736795032702,334,TRUE,"Valid"
"PETG 100%_5.txt","PETG","Flat",100,5,2.10406612882823,0.999687976687555,330,TRUE,"Valid"
"PETG 110%_1.txt","PETG","Flat",110,1,2.53228062330157,0.999404717849975,360,TRUE,"Valid"
"PETG 110%_2.txt","PETG","Flat",110,2,2.00994004339274,0.999221984863811,333,TRUE,"Valid"
"PETG 110%_3.txt","PETG","Flat",110,3,2.16048081581255,0.999711789359577,338,TRUE,"Valid"
"PETG 110%_4.txt","PETG","Flat",110,4,2.09874962530829,0.999127910922659,338,TRUE,"Valid"
"PETG 110%_5.txt","PETG","Flat",110,5,2.23370941682111,0.999661726697612,335,TRUE,"Valid"
"S2 PETG80%_1.txt","PETG","On-edge",80,1,2.10677717202536,0.997664765202855,349,TRUE,"Valid"
"S2 PETG80%_2.txt","PETG","On-edge",80,2,1.99267965111164,0.999129955837058,337,TRUE,"Valid"
"S2 PETG80%_3.txt","PETG","On-edge",80,3,2.10900546354596,0.999394900604374,338,TRUE,"Valid"
"S2 PETG80%_4.txt","PETG","On-edge",80,4,1.66930337771413,0.99887936905937,338,TRUE,"Valid"
"S2 PETG80%_5.txt","PETG","On-edge",80,5,1.78432918179092,0.997543423161214,323,TRUE,"Valid"
"S2 PETG90%_1.txt","PETG","On-edge",90,1,2.16583512543527,0.999677840937161,349,TRUE,"Valid"
"S2 PETG90%_2.txt","PETG","On-edge",90,2,1.97151590831923,0.998902716632581,325,TRUE,"Valid"
"S2 PETG90%_3.txt","PETG","On-edge",90,3,1.73103557287655,0.99872061665544,319,TRUE,"Valid"
"S2 PETG90%_4.txt","PETG","On-edge",90,4,1.97195139351762,0.999478750476194,336,TRUE,"Valid"
"S2 PETG90%_5.txt","PETG","On-edge",90,5,2.21971062272,0.999258247062407,348,TRUE,"Valid"
"S2 PETG100%_1.txt","PETG","On-edge",100,1,1.9713623281306,0.998974135899777,330,TRUE,"Valid"
"S2 PETG100%_2.txt","PETG","On-edge",100,2,2.2764694182348,0.998230602457216,356,TRUE,"Valid"
"S2 PETG100%_3.txt","PETG","On-edge",100,3,1.93315739323257,0.998070023614672,345,TRUE,"Valid"
"S2 PETG100%_4.txt","PETG","On-edge",100,4,2.18564880089114,0.997228313746127,347,TRUE,"Valid"
"S2 PETG100%_5.txt","PETG","On-edge",100,5,1.94372839473792,0.997145616491914,329,TRUE,"Valid"
"S2 PETG110%_1.txt","PETG","On-edge",110,1,0.59737987076898,0.291960468317934,155,FALSE,"R2 below 0.95"
"S2 PETG110%_2.txt","PETG","On-edge",110,2,2.26221107763077,0.99962297896848,334,TRUE,"Valid"
"S2 PETG110%_3.txt","PETG","On-edge",110,3,2.38213739290863,0.997800874546942,359,TRUE,"Valid"
"S2 PETG110%_4.txt","PETG","On-edge",110,4,1.95952060591988,0.995578502044517,330,TRUE,"Valid"
"S2 PETG110%_5.txt","PETG","On-edge",110,5,2.04994631124321,0.998866635390504,348,TRUE,"Valid"
